x;y;z
909893,33;875800,44;2,2
914643,45;909352,16;2,2
910440,95;902671,05;2,2
911360,58;895912,74;2,3
924403,12;915106,03;2,5
906477,82;906893,71;2,5
903457,83;876506,31;2,6
883567,73;885073,49;2,7
919208,81;885642,08;2,7
906865,65;908514,19;2,8
867028,63;876842,54;2,9
876816,34;883240,94;3
910375,8;870233,75;3
870028,31;876166,36;3,2
874992,21;882912,58;3,2
882937,03;886362,92;3,2
925065,35;888078,4;3,2
907942,58;901570,03;3,2
910806,1;873156,63;3,2
898146,1;884769,04;3,3
899533,72;883764,42;3,3
902433,36;904189,34;3,3
910584,85;893082,58;3,4
914358,84;903821,52;3,4
880193,46;885023,62;3,6
878737,13;881792,55;3,7
892543,96;885122,58;3,7
913662,49;902426,23;3,7
908950,75;874405,18;3,7
923727,82;893767,46;3,8
913769,63;907969,44;3,8
907196,45;884827,66;3,8
881760,1;883402,74;3,9
903772,58;905975,43;3,9
900657,02;882836,86;3,9
888569,2;884342,36;4
896378,05;915209,35;4
932799,14;911136,76;4
881644,45;885374,53;4,1
874440,23;884447,41;4,1
916994,42;895615,86;4,1
927648,74;903294,43;4,1
877823,67;880981,42;4,2
887250,21;885331,7;4,2
921788,46;884819,97;4,3
901174,26;886706,96;4,3
910815,38;901237,77;4,3
903383,13;903432,36;4,3
903348,72;880846,64;4,3
871494,17;877645,17;4,4
873233,56;876903,16;4,4
874795,84;880329,89;4,4
930889,78;908884,02;4,4
876471,45;880662,05;4,5
910256,87;887233,52;4,5
920874,26;886062,55;4,5
912045,83;896478,09;4,5
869367,84;877270,09;4,6
903660,05;888709,04;4,7
929931,09;914289,05;4,8
897186,29;892416,62;4,8
877119,84;881902,82;4,9
915580,29;883133,52;4,9
903825,77;898909,63;4,9
923042,4;895658,86;5
923320,78;888279,75;5
914720,63;888784,52;5
914719,98;890543,18;5,1
901426,96;893102,24;5,1
932851,94;908757,18;5,1
916113,66;904805,28;5,1
910748,68;897452,38;5,1
908974,58;884303,07;5,2
906205,94;895603,12;5,2
900638,3;891074,22;5,2
872310,12;878262,25;5,3
888481,71;886155,82;5,3
919040,53;896748,4;5,3
906728,5;905003,66;5,3
915767,76;902835,62;5,3
900270,87;898943,55;5,3
905438,44;894502,9;5,3
916598,96;887085,5;5,3
904725,82;887164,65;5,3
868380,54;876787,84;5,4
889489,53;885129,91;5,4
922795,43;891532,69;5,4
901181,51;899497,73;5,4
882618,49;883548,33;5,5
918393,64;894992,62;5,5
925471,63;895839,59;5,5
912442,97;900956,41;5,5
904544,57;894597,44;5,5
928996,67;907451,66;5,6
900975,81;904068,16;5,6
918044,25;881108,38;5,6
905894,28;887015,26;5,6
911134,56;899619,87;5,7
902526,21;890007,98;5,7
898706,88;891427,06;5,7
905408,49;891734,19;5,7
912501,06;888528,61;5,7
927595,44;899071,43;5,8
901325,99;896063,8;5,8
919453,16;883499,21;5,9
874928,78;881763,07;6
920769,61;910454,65;6
919392,42;909611,14;6,1
913842,49;877895,69;6,1
902135,33;901132,35;6,2
910347,51;883636,75;6,2
902936,22;894059,13;6,2
903204,35;887316,22;6,3
908032,81;885598,68;6,3
917406,98;892553,87;6,4
924098,14;910874,83;6,4
909177,87;907751,86;6,4
899679,76;899677,45;6,4
914272,44;891846,48;6,4
925882,62;892866,06;6,5
918058,79;909770,61;6,5
920894,62;899502,3;6,5
897983,91;888809,12;6,5
904430,61;892810,15;6,5
877674,45;879356,11;6,6
898372,54;899269,05;6,6
911013,87;888906,09;6,6
901226,12;885207,3;6,6
909558,46;888517,55;6,6
909136,12;892364,92;6,6
883558,45;886366,43;6,7
922499,99;902828,57;6,7
903467,47;891505,91;6,7
920266,35;884000,98;6,7
924734,37;903131,63;6,8
912126,67;898374,61;6,8
908070,37;893264,86;6,8
923215,46;885382,56;6,8
903186,89;895604,34;6,9
906012,39;905650,45;7
904926,41;897576,42;7
919972,34;902513,19;7
904370,41;885852,74;7
909728,5;877228,97;7
900708,29;888288,37;7,1
890856,25;885953,6;7,2
879368,54;883531,48;7,2
925105,07;901930,58;7,2
928545,59;913589,45;7,2
898830,59;916489,49;7,2
919077,41;899505,6;7,2
904452,49;890461,52;7,2
904271,56;882668,31;7,2
915271,24;887269,6;7,3
908425,96;889391,59;7,3
917261,23;900905,7;7,3
902509,73;886027,46;7,3
905959,44;883230,44;7,3
894647,34;887809,15;7,4
919868,83;900950,79;7,4
897559,56;887844,29;7,4
907589,36;873684,91;7,4
873598,03;879214,79;7,5
914332,96;882082,84;7,6
888673,03;882495,94;7,7
902867,81;882414,47;7,7
906794,37;896657,36;7,7
921028,71;896757,02;7,8
896367,58;887674,65;7,9
926198,15;903927,62;8
927208,2;912972,4;8
908283,53;876175,54;8
928902,95;911335,44;8
906462,44;899672,2;8
904665,57;902911,81;8,3
909611,06;878507,29;8,3
909116,55;885993,06;8,4
908362,12;877643,24;8,4
913744,22;887309,45;8,4
913301,17;874993,69;8,4
929706,2;908791,38;8,5
909373,66;881613,99;8,5
915194,77;880537,65;8,5
913194,73;899671,56;8,7
919591,66;890456,59;8,9
904981,45;901468,64;8,9
911793,96;887687,84;8,9
895064,52;885958,91;9,1
909546,04;900053,24;9,2
913138,92;890062,61;9,2
884433,91;886212,88;9,3
914217,77;900901,42;9,3
912159,58;908147,5;9,4
922802,33;912656,4;9,5
899203,29;900685,63;9,6
900930,43;889929,17;9,6
927402,03;895298,85;9,8
912113,19;902095,38;9,8
899132,85;889980,83;9,8
924310,89;902206,04;9,9
926643,8;890917,53;9,9
898399,39;919832,73;9,9
901278,41;903071,24;9,9
919093,18;901801,27;9,9
914584,83;893133,99;9,9
925609,94;912442,5;10
916821,11;903752,21;10
910735,79;882349,4;10
906371,21;872581,13;10
